,아티스트,유형
0,K.Heart,솔로
1,DPR IAN,솔로
2,박종철,솔로
3,현숙,솔로
5,구혜선,솔로
6,우주소녀 쪼꼬미,그룹
7,ハセガワダイスケ,None_error
8,Maroon 5,None_error
9,Adele,솔로
11,노지훈,솔로
12,SDN48,그룹
13,금사랑,솔로
14,크래커 (CRACKER),솔로
15,기리보이,솔로
16,Jack Wagner,솔로
17,Michelle Shaprow,솔로
18,더 베인,솔로
19,시현,솔로
20,올티 (Olltii),솔로
22,Hash Swan,솔로
23,Charice,솔로
24,방연지,솔로
25,샘김 (Sam Kim),솔로
26,달 좋은 밤,그룹
27,Christopher,솔로
28,베이비소울 (러블리즈),솔로
29,오순이,솔로
30,로맨틱펀치 (Romantic Punch),그룹
31,容祖儿,None_error
32,青山テルマ,None_error
33,강다니엘,솔로
34,DGNA (대국남아),그룹
35,임병수,솔로
36,다운 (Dvwn),솔로
37,Ed Sheeran,솔로
38,롱디 (LONG:D),그룹
39,금수봉,솔로
40,어반자카파,그룹
41,안녕의 온도,그룹
42,서인영,솔로
43,류지광,솔로
44,효정 (오마이걸),솔로
45,사월과 오월,그룹
46,하현상,솔로
47,조혜련,솔로
48,Aqua Timez,그룹
49, 我要为你唱首歌,None_error
50,Domoto Tsuyoshi,솔로
51,자이로 (zai.ro),솔로
52,NCT DREAM,그룹
53,NCT 127,그룹
54,YB,그룹
55,제시 (Jessi),솔로
56,Robin Schulz,솔로
57,买辣椒也用券,None_error
58,김효수,솔로
59,김하온 (HAON),솔로
60,렉스디 (REX.D),솔로
61,다나 (DANA),솔로
62,주헌 (몬스타엑스),솔로
63,徐佳莹,None_error
64,비비 (BIBI),솔로
65,워너원-남바완,None_error
66,소나무 (SONAMOO),그룹
67,가리온,그룹
68,Barbara Bonney,솔로
69,레이나 (Raina),솔로
70,小沈阳,None_error
71,Abingdon Boys School,그룹
74,이연실,솔로
75,오종경,솔로
76,The Stroboscorp,None_error
77,캔,그룹
78,순이네 음악창고,솔로
79,나몰라패밀리JW,솔로
80,池田輝郎,None_error
81,김수연 (Jam Factory),솔로
82,董又霖,None_error
83,陈一发儿,None_error
84,임병윤,솔로
85,緑黄色社会,None_error
86,Billionaire,그룹
87,강현준,솔로
88,SMAP,그룹
89,정진운,솔로
90,지애린,솔로
91,Bad Meets Evil,그룹
92,Beverley Craven,솔로
93,구구단 오구오구,그룹
94,花姐,None_error
95,Sam Ock,솔로
96,처진 달팽이 (유재석 & 이적),그룹
97,Da Pump,그룹
98,진태령,솔로
99, 미스터 김! OST),None_error
100,택연,솔로
101,LiSA,솔로
102,신승훈,솔로
103,전진희,솔로
104,김은영,솔로
105,Charlie Wilson,솔로
106,DAOKO X 岡村靖幸,None_error
107,Monkey Majik,그룹
108,왕소연,솔로
109,미스틱 화이트,그룹
110,BTOB,None_error
111, 힐미 OST),None_error
112,PEEJAY,솔로
113,The Sketchbook,None_error
114,정삼열,솔로
115, I Love You?,None_error
116, 한눈팔지 마!,None_error
117,채연,솔로
118,남자의자격밴드,None_error
119,LANY,None_error
120,정소녀,솔로
122,주원대,솔로
124,HUS (허밍어반스테레오),솔로
125,3호선 버터플라이,그룹
126,백현 (BAEKHYUN),솔로
127,미교,솔로
128,이윤경,솔로
129,Birdy,솔로
130,송지은,솔로
131,P.O (피오),솔로
133,DPR CREAM,솔로
134,김영아,솔로
135,권문자,솔로
136,Damien Rice,솔로
137,Panic! At The Disco,솔로
138,더보이즈 (THE BOYZ),그룹
139,정태훈,솔로
140,라니아,그룹
141,김세환,솔로
142,최성훈,솔로
143,Andy Grammer,솔로
144,Miguel,솔로
145,Triad Primus,None_error
146,ASH ISLAND,솔로
147,Fergie,솔로
148,UNI.T,그룹
149,김현성,솔로
150,김범룡,솔로
151,스윙스,솔로
152,梦然,None_error
153,서교동의 밤,그룹
154,김태희,솔로
155,유라 (youra),솔로
156,이달의 소녀,그룹
157,嶋大輔,None_error
158,안성훈,솔로
159, 모든 순간,None_error
160,Clean Bandit,그룹
161,김은비 (EB),솔로
162,강민주,솔로
163,SuperM,그룹
164,오지은과 늑대들,그룹
165,더블에이,그룹
166,데드버튼즈,None_error
167,공기남녀,그룹
168,딘딘,솔로
169,모노그램,그룹
170,케이티김,None_error
171,버스커 버스커,그룹
172,Brand Newjiq (브랜뉴직),솔로
173,다즈비,솔로
174,CNBLUE (씨엔블루),그룹
175,윤도현,솔로
176,Olivia Rodrigo,솔로
177,천단비,솔로
178,CHAGE & ASKA,그룹
179,레이디제인 & 코인,None_error
180,女王蜂,None_error
181,에어플레인,솔로
182,門脇陸男,None_error
183,이예준,솔로
184,Cody Simpson,솔로
185,퓨어킴,솔로
186,은하 (여자친구),솔로
187,임지영,솔로
188,체리 필터,그룹
189,김희철,솔로
190,서정아,솔로
191,플로우식 (Flowsik),솔로
192,피타입 (P-TYPE),솔로
193,루싸이트 토끼,그룹
194,니브 (NIve),솔로
195,KCM,솔로
196,장숙정,솔로
197,Ellegarden,그룹
198,박재정,솔로
199,SAAY,솔로
200,이로이 (TEAM152),그룹
201,Lil Wayne,솔로
202,권웅주,솔로
203,Simon & Garfunkel,그룹
204,연정,솔로
205,张芸京,None_error
206,뮤지,솔로
207,Nakashima Mika,솔로
208,EK,솔로
209,식케이 (Sik-K),솔로
210,김설훈,None_error
211,Rats & Star,그룹
212,増田俊樹,None_error
213,Naomi Scott,솔로
214,김혜진,솔로
215,나미애,솔로
216,임시호,솔로
217,조승아,솔로
218,Jarryd James,솔로
