Post Malone,Better Now,"['Hip-Hop', 'rap', 'trap', 'cloud rap', 'hip hop']"
SEKAI NO OWARI,Illumination,[]
ずっと真夜中でいいのに。,秒針を噛む,[]
송민호,알람,[]
이석훈,너였구나,[]
저스디스,Gone,[]
동방신기,Truth,[]
Zayn,Let Me,"['pop', 'british', 'male vocalists', 'sexy', 'singer-songwriter']"
MC THE MAX,넘쳐흘러,[]
청하,벌써 12시,"['best of 2019', 'love at first listen', 'hino', 'cant even express how much i love this song', 'lovely mv']"
팔로알토,Fuck It,[]
정준일,Hell O,[]
홍진영,사랑은 다 이러니,[]
이현,우리 그만 아프자,[]
용주,우리 둘만 아는,[]
정준일,향기로운 뒷모습,[]
케이시,그때가 좋았어,[]
로이킴,우리 그만하자,[]
Billie Eilish,bellyache,"['pop', 'electropop', 'indie', 'alternative', '2010s']"
숀(SHAUN),Traveler,[]
레드벨벳,멋있게 (Sassy Me),['sexy']
에이핑크,%%(응응),[]
River,Club,[]
Camila Cabello,Real Friends,"['pop', 'sadly beautiful', 'love yourself', 'rnb', '2010s']"
庞龙,你是我的玫瑰花,"['chinese male vocal', 'Pang Long', 'chinese']"
阿里郎,隔壁泰山,[]
공기남녀,이별을 만지다,[]
양다일,고백,[]
MC THE MAX,그걸로 나는 충분해요,[]
우주소녀,La La Love,"['pop', 'female vocalists', 'Asian', 'k-pop', 'Kpop']"
god,그 남자를 떠나,[]
에이핑크,안아줘요,[]
죠지,Boat,[]
god,눈을 맞춰,[]
Barry Manilow,Memory,"['pop', '80s', 'easy listening', 'superrock kyoi', 'memory']"
이민혁,YA,[]
엔플라잉,옥탑방,[]
에이핑크,느낌적인 느낌,[]
아스트로,All Night(전화해),[]
새소년,긴 꿈,[]
정준일,나의 고백,[]
임한별,이별하러 가는 길,[]
우주소녀,칸타빌레(노래하듯이),"['pop', 'female vocalists', 'Asian', 'k-pop', 'Kpop']"
"""Charli XCX",1999,[]
Ariana Grande,Imagine,"['rnb', 'pop', 'female vocalists', 'Ariana Grande', 'r&b']"
여자친구,You are not alone,"['Power ballad', 'melodic', 'electric guitar', 'heartwarming', 'strong lyrics']"
넥스트,그대에게,[]
폴킴,초록빛,[]
비비(BIBI),편지,[]
MC THE MAX,가,[]
강진,막걸리 한 잔,[]
버즈,손깍지,[]
Khalid,Better,"['pop', 'american', 'rnb', 'Khalid', '2018 single']"
세븐틴,Home,"['pop', 'Korean', 'k-pop', 'male vocalists', 'Korean Pop']"
Halsey,Without Me,"['pop', 'rnb', 'halsey', 'alternative', 'hit']"
펀치,이 마음,[]
드림캐쳐,하늘을 넘어,[]
Queen,Hammer To Fall,"['rock', 'classic rock', 'Queen', 'hard rock', '80s']"
"""Marshmello",Happier,[]
Jessie J,Thunder,"['pop', 'soul', 'Love it', 'british', 'power pop']"
아스트로,Starry Sky,[]
펀치,눈꽃처럼,[]
Ariana Grande,Breathin,"['pop', 'bop', 'love at first listen', 'female vocalists', 'rnb']"
Billie Eilish,come out and play,"['indie', 'pop', 'indie pop', 'alternative', '2010s']"
이민혁,HUTAZONE,[]
Shawn Mendes,Lost In Japan,"['pop', 'dance', 'Love', 'Canadian', 'Justin Timberlake']"
XXXTENTACION,Moonlight,"['Hip-Hop', 'emo', 'rap', 'hip hop', 'rnb']"
あいみょん,君はロックを聴かない,['j-pop']
정승환,우주를 건너,[]
용주,잠시 길을 잃다,[]
세븐틴,Good to Me,[]
星野源,POP VIRUS,[]
나플라,smile,[]
amazarashi,ピアノ泥棒,[]
노태현,I Wanna Know,[]
Ella Mai,Trip,"['british', 'rnb', 'bouncy', 'trip', 'fallon']"
김수찬,사랑의 해결사,[]
세븐틴,포옹,[]
Camila Cabello,Consequences,"['pop', 'sad', 'piano', 'acoustic', 'rnb']"
양요섭,With You,[]
하은(라코스테남),신용재,[]
우디,이 노래가 클럽에서 나온다면,[]
임창정,하루도 그대를 사랑하지 않은 적이 없었다,[]
양요섭,Moonlight,[]
허각,그들만은 아름답도록,[]
위위,Ocean,[]
트웰브,BODYTALK,[]
정승환,나비효과,[]
폴킴,눈,[]
IU,이름에게,"['k-pop', 'Ballad', 'powerful']"
우주소녀,1억개의 별,"['pop', 'female vocalists', 'Asian', 'k-pop', 'Ballad']"
러블리즈,백일몽,[]
109,별이 되지 않아도 돼,[]
K.Will,그립고 그립고 그립다,"['Korean', 'k-pop', 'Soundtrack', 'pop', 'Ballad']"
윤딴딴,남은 기억,[]
세븐틴,숨이 차,['hino']
엘키,I dream,[]
CLC,No,"['k-pop', 'dance', 'Korean', 'Kpop', 'girl group']"
Dr.Dre(Feat.Snoop Dogg),The Next Episode,[]
庄心妍,再见只是陌生人,[]
洛晴,可能否,[]
李荣浩,年少有为,[]
展展与罗罗,沙漠骆驼,[]
子芮,让我做你的眼睛,[]
안예은,이방인,[]
러블리즈,Like U,[]
Mariah Carey,With You,"['soul', 'rnb', 'Ballad', 'female vocalists', 'singer-songwriter']"
コレサワ,たばこ,[]
B1A4,반하는 날,[]
Mike Whitla,Baby Shark,[]
Avril Lavigne,Head Above Water,"['rock', 'pop rock', 'pop', 'christian', 'best of 2018']"
40,새벽은 좀 그래요,[]
술탄오브더디스코,숱한 밤들,[]
모트,이 밤을 너와,[]
ITZY(있지),달라달라,[]
인피니트,CLOCK,"['Kpop', 'infinite']"
HRVY,Personal,"['british', 'party', '2017 single']"
The Outfield,Your Love,"['80s', 'rock', 'classic rock', 'new wave', 'pop']"
오왠,미지근한 밤,[]
헤이즈,오롯이,[]
검정치마,섬(Queen of Diamonds),[]
폴킴,이별,[]
세븐틴,칠리,[]
Ariana Grande,7 Rings,"['trap', 'pop', 'rap', 'rnb', 'Hip-Hop']"
몬스타엑스,Alligator,[]
드림캐쳐,PIRI,"['majestic', 'best of 2019']"
ITZY(있지),WANT IT?,[]
포스트맨,서른,[]
훈스,우리라고 쓰고 싶어,[]
몬스타엑스,No Reason,[]
Travis Scott,SICKO MODE,"['rap', 'Hip-Hop', 'hip hop', 'american', 'trap']"
버블디아,어쩌면,[]
이츠,잠들래,[]
Billie Eilish,bury a friend,"['pop', 'alternative', '2010s', 'electropop', 'dark pop']"
윤지성,In the Rain,[]
조영구,야! 이 사람아,[]
재키와이,Enchanted Propaganda,[]
레이디스 코드,THE LAST HOLIDAY,[]
이달의소녀,Butterfly,[]
죠지,Swimming pool,[]
IZ*ONE,好きと言わせたい,"['japanese', 'j-pop']"
러블리즈,꽃점,[]
윤딴딴,윤딴딴,[]
Queen,Now I'm Here,"['rock', 'classic rock', 'Queen', '70s', 'glam rock']"
세븐틴,Shhh,[]
모노그램,그 아이,[]
폴킴,너를 만나,[]
윤종신,몰린 2,[]
김필,사랑한다면서,[]
검정치마,틀린 질문,[]
윤지성,쉼표,[]
윤지성,Clover,[]
펀치,Love is You,[]
(여자)아이들,Senorita,[]
죠지,바라봐줘요,[]
베리베리,불러줘 (Ring Ring Ring),[]
양다일,사랑합니다,[]
유라(youra),수영해,[]
벤(Ben),180도,[]
유성은,Deep,[]
카더가든,She,[]
윤지성,또 웃기만 해,[]
강민경,사랑해서 그래,['Ballad']
비비(BIBI),한강,[]
하성운,BIRD,"['pop', 'solo', 'cute', 'k-pop', 'relax']"
HYNN(박혜원),LET ME OUT,[]
1415,SURFER,[]
back number,幸せ,"['rock', 'nice']"
ずっと真夜中でいいのに。,脳裏上のクラッカー,[]
김세환,사랑이 무엇이냐,[]
권진아,오늘 뭐했는지 말해봐,[]
花姐,夜之光,[]
叶炫清,归去来兮,[]
半阳,我的将军啊,[]
선미,누아르(Noir),[]
홍주찬,문제아,[]
윤지성,왜 내가 아닌지,[]
요요미,찌개,[]
방용국,히키코모리,[]
저스투,FOCUS ON ME,[]
제니,SOLO,[]
이예준,괜한 걱정을 했나 봐,[]
우주소녀,그때 우리,"['pop', 'female vocalists', 'Asian', 'k-pop', 'Kpop']"
하은요셉,여자친구,[]
함중아와양키스,풍문으로 들었소,[]
오반,행복,[]
허각,흔한 이별,[]
홍진영,오늘 밤에 (Love Tonight),[]
더 레이,Baby Girl,[]
위너(WINNER),EVERYDAY,[]
위너(WINNER),Really Really,[]
김민석,봄이 오는 날에,[]
한해,아이구,[]
Queen,I Want It All,"['classic rock', 'rock', 'Queen', '80s', 'hard rock']"
Queen,Keep Yourself Alive,"['classic rock', 'rock', 'hard rock', '70s', 'Queen']"
요셉,Moonrise,[]
투모로우바이투게더,Blue Orangeade,"['happy', 'cute', 'k-pop', 'sweet', 'fresh']"
라비,TUXEDO,[]
Post Malone,Wow.,"['rap', 'Hip-Hop', 'hip hop', 'male', 'pop']"
김창완,이 말을 하고 싶었어요,[]
양다일,편지,[]
노태현,biRTHday,[]
저스투,DRUNK ON YOU,[]
노태현,Love Lock,[]
브로맨스,같은 밤 다른 느낌,[]
강민경,스물 끝에,[]
네이브로,어떻게 잘 지내,[]
10cm,그러나,[]
비와이,나의 땅,[]
김필,목소리,[]
이보람,축가,[]
투모로우바이투게더,Our Summer,"['happy', 'cute', 'k-pop', 'sweet', 'fresh']"
S Club 7,Have You Ever,"['pop', 'romantic', 'Ballad', 'S Club 7', 'Love']"
홍진영,눈물비,[]
스무살,왜 그때는,[]
윤딴딴,함께,[]
김연지,10년이나 버티니,[]
"""Cardi B",Please Me,[]
라비,R.OOK BOOK,[]
마마무,고고베베(gogobebe),[]
장윤정,목포행 완행열차,[]
우석X관린,별짓,[]
류원정,복덩이,[]
에픽하이,새벽에,[]
핫펠트(예은),Peter Pan,[]
요요미,S-Love,[]
장재인,괜찮다고 말해줘,[]
노태현,하늘별,[]
라이관린,Good Feeling,[]
에이티즈,Say My Name,[]
Billie Eilish,wish you were gay,"['2010s', 'pop', 'electropop', 'contemporary rnb', '2019']"
백예린,그건 아마 우리의 잘못은 아닐 거야,[]
박봄,내연인,[]
노을,너는 어땠을까,[]
뉴이스트,노래 제목,[]
휘성,생각난다,[]
장윤정,세월아,[]
잔나비,주저하는 연인들을 위해,[]
박봄,창피해,[]
공원소녀,Pinky Star(RUN),[]
Christopher,Bad,"['boring', 'sellout', 'cheap', 'generic', 'mainstream']"
투모로우바이투게더,별의 낮잠,"['cute', 'k-pop', 'Ballad', 'sweet', 'fresh']"
장범준,노래방에서,[]
장범준,당신과는 천천히,[]
거미,혼자,[]
태연,Blue,[]
잔나비,꿈과 책과 힘과 벽,[]
장범준,일산으로,[]
스트레이키즈,MIROH,[]
장범준,그 모습 그대로,[]
정세운,나의 바다,[]
JBJ95,AWAKE,[]
MC THE MAX,넘쳐흘러,[]
한요한,록시땅,[]
송민호,아낙네,[]
헤이즈,이유,[]
잔나비,전설,[]
방탄소년단,Outro: Wings,['takes me to the sky']
버즈,척,[]
스텔라장,미세먼지,[]
지원이,사랑누리,[]
효민,입꼬리,[]
米津玄師,Flamingo,[]
박지훈,US,[]
Michelle Shaprow,Back Down To Earth,[]
10cm,Hotel Room,[]
위너(WINNER),ISLAND,[]
에픽하이,Lullaby For A Cat,[]
윤종신,Night Drive,[]
이바다,stay,[]
장범준,왜,[]
박수진,Blue Wave,[]
윤건,너도 그냥 날 놓아주면 돼,[]
아이즈원,비올레타,[]
유라(youra),my,[]
블랙핑크,Kill This Love,[]
위너(WINNER),LOVE ME LOVE ME,[]
볼빨간사춘기,Mermaid,[]
Zara Larsson,Ruin My Life,"['pop', 'swedish', 'chill', 'synthpop', 'electropop']"
볼빨간사춘기,Seattle Alone,[]
Ariana Grande,Snow In California,"['christmas', 'pop', 'Ballad', '2013', 'r&b']"
Ariana Grande,Sweetener,"['pop', 'trap', 'female vocalists', 'rnb', 'seen live']"
정은지,계절이 바뀌듯,[]
에픽하이,비가 온대 내일도,[]
폴킴,이런 엔딩,[]
백예린,지켜줄게,[]
Red Velvet,SAPPY,"['japanese', 'JPop', 'j-pop', 'electro-pop']"
볼빨간사춘기,나들이 갈까,[]
펜타곤,신토불이,[]
장덕철,알았다면,[]
이석훈,완벽한 날,[]
다이아,우와,"['pop', 'dance', 'Retro', 'Korean', 'k-pop']"
폴킴,초록빛,[]
아이즈원,해바라기,[]
김범수,Slow,[]
周笔畅,去流浪,[]
花姐,狂浪,[]
아이즈원,Airplane,[]
방탄소년단,Intro: Persona,[]
방탄소년단,Make It Right,[]
방탄소년단,소우주(Mikrokosmos),[]
방탄소년단,Dionysus,[]
방탄소년단,HOME,[]
방탄소년단,Jamais Vu,[]
HYNN(박혜원),시든 꽃에 물을 주듯,[]
아이즈원,하늘 위로,[]
Jonas Brothers,Sucker,"['pop', 'rock', 'dance', 'pop rock', 'party']"
Stevie B.,Waiting For Your Love,"['easy listening', 'love songs', 'latin freestyle', 'Catherine and Coskun']"
이적,숫자,[]
카더가든,대기실,[]
블랙핑크,Kick It,[]
하성운,문득,"['pop', 'solo', 'cute', 'k-pop', 'relax']"
NFB,I Do,[]
카더가든,나무,[]
비비(BIBI),언제 어디서 무엇을 어떻게,[]
영기,한잔해,[]
Ariana Grande,bloodline,"['pop', 'female vocalists', 'bop', 'love at first listen', 'farofa']"
Lauv(Feat.Julia Michaels),There's No Way,[]
오마이걸,사랑 속도,[]
BTOB,잘 지내겠죠,[]
잔나비,투게더!,[]
한올,다시,[]
정승환,우주선,[]
정승환,제자리,[]
트와이스,FANCY,[]
하성운,Lonely Night,"['pop', 'solo', 'cute', 'k-pop', 'relax']"
