N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
1,삼성전자,"83,500",700,+0.85%,100,"4,984,768","5,969,783",54.67,"15,326,171",21.74,9.99,
2,SK하이닉스,"131,500","1,000",-0.75%,"5,000","957,323","728,002",50.10,"2,882,742",20.13,9.53,
3,LG화학,"883,000","9,000",+1.03%,"5,000","623,330","70,592",44.31,"218,605",134.83,2.93,
4,NAVER,"377,500",500,-0.13%,100,"620,094","164,263",56.93,"482,627",61.92,15.22,
5,삼성전자우,"74,600",600,-0.80%,100,"613,873","822,887",77.66,"2,835,613",19.42,N/A,
6,삼성바이오로직스,"819,000","7,000",+0.86%,"2,500","541,891","66,165",10.32,"63,627",224.88,N/A,
7,카카오,"118,000",500,+0.43%,100,"523,695","443,809",33.61,"1,710,372",332.39,2.70,
8,삼성SDI,"689,000","19,000",+2.84%,"5,000","473,788","68,765",42.75,"267,259",84.37,4.54,
9,현대차,"221,500",500,+0.23%,"5,000","473,275","213,668",30.53,"649,993",43.07,2.04,
10,셀트리온,"285,000","3,000",-1.04%,"1,000","392,455","137,703",21.20,"704,546",76.67,16.68,
11,기아,"82,700","1,400",+1.72%,"5,000","335,235","405,363",33.20,"2,151,352",22.53,5.05,
12,POSCO,"362,500","7,000",+1.97%,"5,000","316,052","87,187",54.64,"474,188",19.73,3.61,
13,LG전자,"169,500","6,000",+3.67%,"5,000","277,383","163,648",31.14,"1,875,470",15.57,13.23,
14,현대모비스,"285,000","5,500",-1.89%,"5,000","270,160","94,793",38.73,"822,759",17.72,4.66,
15,삼성물산,"138,500","3,000",+2.21%,100,"258,839","186,887",14.80,"763,554",25.33,3.81,
16,SK텔레콤,"316,500","2,000",+0.64%,500,"255,560","80,746",39.37,"246,560",16.99,6.44,
17,SK이노베이션,"273,500","3,500",+1.30%,"5,000","252,893","92,466",22.57,"698,762",-11.80,-13.58,
18,LG생활건강,"1,593,000","5,000",-0.31%,"5,000","248,798","15,618",46.09,"27,861",35.39,17.92,
19,KB금융,"55,000",700,+1.29%,"5,000","228,694","415,808",69.23,"1,584,847",6.62,8.53,
20,LG,"124,000","9,500",+8.30%,"5,000","213,971","172,557",35.15,"1,397,794",14.88,7.50,
21,SK,"294,000","2,000",-0.68%,200,"206,859","70,360",21.18,"282,361",110.11,1.11,
22,신한지주,"38,250",800,+2.14%,"5,000","197,599","516,600",60.17,"2,810,351",5.67,8.20,
23,엔씨소프트,"861,000","12,000",+1.41%,500,"189,024","21,954",52.01,"93,975",32.18,20.83,
24,삼성생명,"84,900","2,500",+3.03%,500,"169,800","200,000",13.09,"1,021,128",13.41,3.53,
25,한국전력,"24,200",150,+0.62%,"5,000","155,355","641,964",16.61,"2,462,118",7.80,2.91,
26,아모레퍼시픽,"261,000","2,500",-0.95%,500,"152,577","58,458",33.46,"153,628",512.77,0.78,
27,삼성에스디에스,"193,500",500,+0.26%,500,"149,726","77,378",12.08,"201,289",33.76,6.71,
28,삼성전기,"193,000",0,0.00%,"5,000","144,159","74,694",35.05,"279,548",24.80,10.92,
29,하나금융지주,"43,000",100,+0.23%,"5,000","129,104","300,242",68.98,"1,742,087",4.90,8.96,
30,포스코케미칼,"165,500","3,500",+2.16%,500,"128,202","77,463",7.71,"483,993",359.00,2.96,
31,HMM,"36,150","3,200",+9.71%,"5,000","124,859","345,392",10.84,"20,848,251",94.14,8.93,
