title,artist,composer,lyricist,dates
Better Now,Post Malone,"CARL ROSEN,LOUIS BELL,ADAM KING FEENEY,WILLIAM WALSH,AUSTIN POST","CARL ROSEN,LOUIS BELL,ADAM KING FEENEY,WILLIAM WALSH,AUSTIN POST",2019-01-01
Illumination,SEKAI NO OWARI,"SAORI,NAKAJIN","FUKASE,SAORI",2019-01-02
Let Me,Zayn,"ANTHONY HANNIDES,MICHAEL HANNIDES,ZAYN MALIK,KHALED ROHAIM","ANTHONY HANNIDES,MICHAEL HANNIDES,ZAYN MALIK,KHALED ROHAIM",2019-01-07
katharsis(東京喰種:re OP),TK From 凛として時雨,TK,TK,2019-01-09
bellyache,Billie Eilish,"O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD","O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD",2019-01-10
I'M OK,iKON(아이콘),"B.I,FUTURE BOUNCE 1,FUTURE BOUNCE 2","BOBBY,B.I,김종원",2019-01-11
Real Friends,Camila Cabello,"LOUIS BELL,MUSTAFA AHMED,CAMILA CABELLO,BRIAN LEE,ADAM KING FEENEY,WILLIAM WALSH","LOUIS BELL,MUSTAFA AHMED,CAMILA CABELLO,BRIAN LEE,ADAM KING FEENEY,WILLIAM WALSH",2019-01-11
Memory,Barry Manilow,LLOYD WEBBER ANDREW,"ELIOT THOMAS STEARNS,NUNN TREVOR ROBERT",2019-01-18
Sunflower(Spider-Man: Into the Spider-Verse OST),"Post Malone,Swae Lee",BELL LOUIS RUSSELL 외 5명,BELL LOUIS RUSSELL 외 5명,2019-01-21
Imagine,Ariana Grande,GRANDE ARIANA 외 4명,GRANDE ARIANA 외 4명,2019-01-22
ONLY YOU,iKON(아이콘),"B.I,강욱진","BOBBY,B.I",2019-01-22
Better,Khalid,CHAMMAS JAMIL GEORGE 외 5명,CHAMMAS JAMIL GEORGE 외 5명,2019-01-24
Promises,"Calvin Harris,Sam Smith","SAM SMITH,JESSIE REYEZ,CALVIN HARRIS","SAM SMITH,JESSIE REYEZ,CALVIN HARRIS",2019-01-24
This Feeling,The Chainsmokers(Feat.Kelsea Ballerini),"PALL ALEXANDER J,SCHWARTZ EMILY WARREN,TAGGART ANDREW JAMES GIRR","PALL ALEXANDER J,SCHWARTZ EMILY WARREN,TAGGART ANDREW JAMES GIRR",2019-01-24
Without Me,Halsey,JUSTIN TIMBERLAKE 외 7명,JUSTIN TIMBERLAKE 외 7명,2019-01-24
Hammer To Fall,Queen,MAY BRIAN HAROLD,MAY BRIAN HAROLD,2019-01-25
Happier,"Marshmello,Bastille","MAC STEVE,MARSHMELLO,SMITH DANIEL CAMPBELL","MAC STEVE,MARSHMELLO,SMITH DANIEL CAMPBELL",2019-01-25
Post To Be,"Omarion(Feat.Chris Brown,Jhene Aiko)",MICAH POWELL 외 10명,MICAH POWELL 외 10명,2019-01-25
Thunder,Jessie J,"LEVIN BENJAMIN,MIKKEL ERIKSEN,JESSICA CORNISH,CLAUDE KELLY,TOR HERMANSEN","LEVIN BENJAMIN,MIKKEL ERIKSEN,JESSICA CORNISH,CLAUDE KELLY,TOR HERMANSEN",2019-01-25
Breathin,Ariana Grande,"ILYA,KOTECHA SAVAN,GRANDE ARIANA,SVENSSON ANDERS","ILYA,KOTECHA SAVAN,GRANDE ARIANA,SVENSSON ANDERS",2019-01-29
come out and play,Billie Eilish,"O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD","O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD",2019-01-29
Lost In Japan,Shawn Mendes,"GEIGER TEDDY,FRIEDMAN SCOTT HARRIS,NATE MERCEREAU,SHAWN MENDES","GEIGER TEDDY,FRIEDMAN SCOTT HARRIS,NATE MERCEREAU,SHAWN MENDES",2019-01-29
Moonlight,XXXTENTACION,"ONFROY JAHSEH,CUNNINGHAM JOHNATHAN CARTER","ONFROY JAHSEH,CUNNINGHAM JOHNATHAN CARTER",2019-01-29
Beautiful,Bazzi(Feat.Camila Cabello),"BAZZI ANDREW,CABELLO CAMILA,WHITE KEVIN CLARK,WOODS MIKE","BAZZI ANDREW,CABELLO CAMILA,WHITE KEVIN CLARK,WOODS MIKE",2019-01-31
I Love It,"Kanye West,Lil Pump","BARNETT CHRIS THOMAS,GARCIA GAZZY,WEST KANYE","BARNETT CHRIS THOMAS,GARCIA GAZZY,WEST KANYE",2019-01-31
Trip,Ella Mai,"MCFARLANE DIJON ISAIAH,COOK QUINTON LAMAR,HOWELL ELLA MAI,WADE VARREN JEROME LLOYD","MCFARLANE DIJON ISAIAH,COOK QUINTON LAMAR,HOWELL ELLA MAI,WADE VARREN JEROME LLOYD",2019-01-31
Consequences,Camila Cabello,"EMILY LYNN WEISBAND,CAMILA CABELLO,AMY WADGE,NICOLLE ANNE GALYON","EMILY LYNN WEISBAND,CAMILA CABELLO,AMY WADGE,NICOLLE ANNE GALYON",2019-02-01
"Love Lies(Love, Simon OST)","Khalid,Normani","RYAN VOJTESAK,NORMANI HAMILTON,KHALID ROBINSON,JAMIL GEORGE CHAMMAS,PARKS TAYLOR","RYAN VOJTESAK,NORMANI HAMILTON,KHALID ROBINSON,JAMIL GEORGE CHAMMAS,PARKS TAYLOR",2019-02-08
Darkside,"Alan Walker(Feat.Tomine Harket,Au/Ra)",LARS KRISTIAN ROSNESS 외 12명,LARS KRISTIAN ROSNESS 외 12명,2019-02-11
