title,artist,composer,lyricist,dates,link
20th Centu ry Boy,T.Rex,Marc Bolan,Marc Bolan,2007-01-01,
All You Need Is Love,Lynden David Hall,"JOHN LENNON, PAUL MCCARTNEY","JOHN LENNON, PAUL MCCARTNEY",2007-01-01,D0bPnKfX3Pg
All You Need Is Love,무한도전,"JOHN LENNON, PAUL MCCARTNEY","JOHN LENNON, PAUL MCCARTNEY",2007-01-01,MvBf7uxXNtc
Ark,Sound Horizon,REVO,REVO,2007-01-01,eu3-lSzmFCs
Be My 1004,iM&유리&나르샤,필강,"필강,빅톤",2007-01-01,5GL9JoH4Sws
Club Arirang,"G.C해머(Feat.제롬,에디)","이상호,에디",황성진,2007-01-01,pjvjG0_31Gw
Epitaph,King Crimson,"Robert Fripp, Michael Giles, Greg Lake, Ian McDonald, Peter Sinfield","Robert Fripp, Michael Giles, Greg Lake, Ian McDonald, Peter Sinfield",2007-01-01,gvCmtHDDuu0
Evergreen,PK헤만(Feat.이지혜),조영수,안영민,2007-01-01,TGhFh9fF0Zw
Get Out,렉시,김도훈,최갑원,2007-01-01,_PXS21qKQCU
Good Night,넬,김종완,김종완,2007-01-01,30djbcztal8
I Wish,오윤혜,한상원,"이승민,오윤혜,한상원",2007-01-01,65uwKRMtcXU
If I Could,정철,Blue harvest,강은경,2007-01-01,zxiFEzYde7s
In your hands,XING,PEARL.K,PEARL.K,2007-01-01,1nYHyRxAH7E
INDIGO BLUE LOVE,モーニング娘。,つんく,つんく,2007-01-01,-7O9gTxLjFg
It's A Man's Man's Man's World,James Brown,"James Brown, Betty Jean Newsome","James Brown, Betty Jean Newsome",2007-01-01,fNVYXqpwJb8
kiss,간미연(Feat.노홍철),"고남수,한보람",방시혁,2007-01-01,Ee-_5DzWVJg
Let 's Go(마강호텔 OST),김조한&노브레인,김조한,노브레인,2007-01-01,CH6IfwnO8a8
Living In America,James Brown,"HARTMAN DAN, MIDNIGHT CHARLIE","HARTMAN DAN, MIDNIGHT CHARLIE",2007-01-01,nzNj-BT9BwU
Marionette ～マリオネット～,BOOWY,布袋寅泰,氷室京介,2007-01-01,3p52qpMABbM
Miracle(궁S OST),하울(Howl),황성제,하울,2007-01-01,LLzf2lUr-zM
Never Say Goodbye,베이비복스리브,김도훈,최갑원,2007-01-01,Ay6lNRwiz5Y
"Oh, Mama!",자우림,김윤아,김윤아,2007-01-01,uNSD6Xwsmd4
one & only,KCM,김건우,윤사라,2007-01-01,NljPLtutW-k
Paper moon(It's only a paper moon),Natalie Cole,Harold Arlen,Harold Arlen,2007-01-01,-1B2YR5FMxs
Pray (銀魂 OP),Tommy heavenly6,Chris Walker,Tommy heavenly6,2007-01-01,zXr6S70PFOY
Rose,자자,양준영,강우경,2007-01-01,q8iiDZ3RC4I
Savannah Woman,Tommy Bolin,"Tommy Bolin, Bilin, Cook","Tommy Bolin, Bilin, Cook",2007-01-01,peEa-rT4BQE
SAYONARA (銀河鉄道999劇場版 ED),Mary McGregor,Brian Whitcomb・Mary McGregor,Mary McGregor,2007-01-01,
She Can 't Get Enough,빅뱅,"JEAN RODRIGUEZ, B. SPALTER, CARLOS A.MENDOZA, M. NORFLEET, R. NEVIL,SILKY P.WHITE, W. RODRIGUEZ","JEAN RODRIGUEZ, B. SPALTER, CARLOS A.MENDOZA, M. NORFLEET, R. NEVIL,SILKY P.WHITE, W. RODRIGUEZ",2007-01-01,NaAMN6VmLeE
Shee,베이비복스리브,송진석,"이경남,백충렬",2007-01-01,hydm1fLgzgc
Shining star,박정아,지한,김성형,2007-01-01,3KnLwNPnycg
Sky High,Jigsaw,"D Dyer, C Scott","D Dyer, C Scott",2007-01-01,QjtD8A-MWBc
STILL (咎狗の血 ED),いとう かなこ,磯江俊道,渡邊カズヒロ,2007-01-01,
SUMMER DREAM,TUBE,織田哲郎,亜蘭知子,2007-01-01,Cda_GeQ1DZI
Talk about love,김현철,김현철,"김현철,이혜준",2007-01-01,RtQeRcSH62o
Temptation,아시안러브,서융근,"서융근,박상후",2007-01-01,zvg0vAvwn5U
Thanks To,빅마마,"신연아,이영현,이지영,박민혜",신연아,2007-01-01,elXDFjRGzFU
The Gambler,Kenny Rogers,Don Schlitz,Don Schlitz,2007-01-01,7hx4gdlfamo
The Music Played,Sylvie Vartan,"FUCHSBERGER JOACHIM, JUERGENS UDO","FUCHSBERGER JOACHIM, JUERGENS UDO",2007-01-01,IU2YTFIkbuQ
What I Go To School For,Busted,"Bourne, Jay, McLaughlin, Robson, Simpson","Bourne, Jay, McLaughlin, Robson, Simpson",2007-01-01,8H_gk-4bX6o
What's Going On,Marvin Gaye,"Renaldo Benson, Al Cleveland, Marvin Gaye","Renaldo Benson, Al Cleveland, Marvin Gaye",2007-01-01,EHw005ZqCXk
With,마이앤트메리,"정순용,박정준,한진영",한진영,2007-01-01,oPqjaLmRNMc
WON'T BE LONG,EXILE＆倖田來未,Bro.KORN,Bro.KORN,2007-01-01,pHwmBg_QkRo
wonderland by night,Engelbert Humperdinck,Klaus Gunter Neumann,Klaus Gunter Neumann,2007-01-01,2iqZ6lkcDTM
Yield,Sound Horizon,REVO,REVO,2007-01-01,JULLy71XMT8
あづま男と浪花のおんな,"北島三郎,中村美津子",原譲二,原譲二,2007-01-01,
あなたに,安全地帶,玉置浩二,松井五郎,2007-01-01,X2ECHVV-NJY
うそよ今夜も,ロス・インディオス＆シルヴィア,六ツ見茂明,六ツ見茂明,2007-01-01,jStTf8P0y7I
しあわせの魔法(カードキャプターさくら OST),丹下桜,根岸貴幸,大川七瀬,2007-01-01,
ふたりの愛ランド,"石川優子,チャゲ",チャゲ,松井五郎・チャゲ,2007-01-01,WqcHxy-Tldk
もしも雪なら,Dreams Come True,中村正人,吉田美和,2007-01-01,nGl2la0Q6LA
やさしさに包まれたなら(魔女の宅急便OST),植村花菜,荒井由実,荒井由実,2007-01-01,
アルミナ (DEATH NOTE ED),ナイトメア,咲人,咲人,2007-01-01,XYtXku9cg4s
ブギウギ 66,w-inds.,シライシ紗トリ,島崎貴光・シライシ紗トリ,2007-01-01,RLkh4naTDzY
ミソスープ,テゴマス,Shusui・Stefan Aberg,ZOPP,2007-01-01,tA057mseNsg
リンダ リンダ,THE BLUE HEARTS,甲本ヒロト,甲本ヒロト,2007-01-01,gVA_WpEB75A
一色,NANA starring MIKA NAKASHIMA,TAKURO,AI YAZAWA,2007-01-01,7t4s7k8t6w8
上を向いて歩こう,坂本九,中村八大,永六輔,2007-01-01,k9owRFvVAP8
僕らの街で,KAT-TUN,小田和正,小田和正,2007-01-01,v6k8O_oI2zs
南十字星,キム・ヨンジャ,川口真,イタバシマサヒロ,2007-01-01,bLR8rPOEE8o
夢想歌(うたわれるもの OP),SUARA,衣笠道雄,須谷尚子,2007-01-01,W1BCZKFoKVg
大阪しのび逢い,"桂銀淑,浜圭介",浜圭介,池田充男,2007-01-01,Pbj_pGN1xkA
愛始発,"桂銀淑,浜圭介",浜圭介,やしろよう,2007-01-01,-ARBLU7Egw8
春夏秋冬,アリス九號.,アリス九號.,将,2007-01-01,Gz46XekqlCA
最高の片想い(彩雲国物語ED),タイナカサチ,タイナカサチ,タイナカサチ,2007-01-01,gaoYIsFcvTI
横須賀ストーリー,山口百恵,宇崎竜童,阿木燿子,2007-01-01,hzxgyzIuhU8
男と女のはしご酒,"武田鉄矢,芦川よしみ",馬飼野康二,魚住勉,2007-01-01,SgdHzwLZMPU
白い雪 (名探偵コナン ED),倉木麻衣,Aika Ohno,Mai Kuraki,2007-01-01,rHsqcZ3GdlY
素顔,長渕剛,長渕剛,長渕剛,2007-01-01,Z32yzw77bk4
緋色の風車,Sound Horizon,REVO,REVO,2007-01-01,0l7iuiBZsQU
胸さわぎスカーレット,Berryz工房,つんく,つんく,2007-01-01,rOhFfXEL0K0
貴方が生きた Love Song,"高橋真梨子,玉置浩二",玉置浩二,高橋真梨子,2007-01-01,QHaZXXP0GR4
가거라 사랑아,서문탁,박세준,이영준,2007-01-01,O69kLjV5dUU
가지 말라고,PK헤만(Feat.박정은),이강희,"이강희,P.K헤만",2007-01-01,ccMpAFQJ-eY
거침없이 하이킥(거침없이 하이킥 OST),무가당,"송백경,ROVIN",송백경,2007-01-01,qwRvkuk-Wmk
결혼,고유비,MR.고철,MR.고철,2007-01-01,Zuu-3qJ5-z4
그 사람은...,코요태,최원일,이지선,2007-01-01,rF3R1dmxPHc
그것도 모르고...,더 노트,이근우,Rhymer,2007-01-01,O61uPUt4sAE
그 대가 알까봐 (드라마 '꽃피는 봄이 오면'OST),구정현,KJUN,KJUN,2007-01-01,
그때 그 부산,김장수,김현규,김현규,2007-01-01,dJ7a28DVX6c
그때가 좋았어...,홍경민(Duet.김아선 ),고성진,홍경민,2007-01-01,gqcU9u8wz_w
그래도 날 사랑 하나요(게임의 여왕 OST),Connexion,고동훈,정진환,2007-01-01,
그런 사람 또 없어,심현보,심현보,심현보,2007-01-01,fW-7dSTjb5k
그렇담 Good Bye,장나라,서승현,엄지영,2007-01-01,KGZyiJlvCAM
그 자리에 그 시간에,성시경,김형석,윤사라,2007-01-01,Z5KYn2QfZeI
기다리는 사랑(소문난 칠 공주 OST),The One,"손영채,강성순",손영채,2007-01-01,mKo9SwRZ-w4
기다릴게,타이푼,"박성진,정훈","박성진,정훈",2007-01-01,Z7DZ5rcXAck
기억이 마르면,MayBee,김건우,MayBee,2007-01-01,LyUqv49qWJQ
