title,artist,composer,lyricist,dates
20th Centu ry Boy,T.Rex,Marc Bolan,Marc Bolan,2007-01-01
All You Need Is Love,Lynden David Hall,"JOHN LENNON, PAUL MCCARTNEY","JOHN LENNON, PAUL MCCARTNEY",2007-01-01
All You Need Is Love,무한도전,"JOHN LENNON, PAUL MCCARTNEY","JOHN LENNON, PAUL MCCARTNEY",2007-01-01
Ark,Sound Horizon,REVO,REVO,2007-01-01
Be My 1004,iM&유리&나르샤,필강,"필강,빅톤",2007-01-01
Club Arirang,"G.C해머(Feat.제롬,에디)","이상호,에디",황성진,2007-01-01
Epitaph,King Crimson,"Robert Fripp, Michael Giles, Greg Lake, Ian McDonald, Peter Sinfield","Robert Fripp, Michael Giles, Greg Lake, Ian McDonald, Peter Sinfield",2007-01-01
Evergreen,PK헤만(Feat.이지혜),조영수,안영민,2007-01-01
Get Out,렉시,김도훈,최갑원,2007-01-01
Good Night,넬,김종완,김종완,2007-01-01
I Wish,오윤혜,한상원,"이승민,오윤혜,한상원",2007-01-01
If I Could,정철,Blue harvest,강은경,2007-01-01
In your hands,XING,PEARL.K,PEARL.K,2007-01-01
INDIGO BLUE LOVE,モーニング娘。,つんく,つんく,2007-01-01
It's A Man's Man's Man's World,James Brown,"James Brown, Betty Jean Newsome","James Brown, Betty Jean Newsome",2007-01-01
kiss,간미연(Feat.노홍철),"고남수,한보람",방시혁,2007-01-01
Let 's Go(마강호텔 OST),김조한&노브레인,김조한,노브레인,2007-01-01
Living In America,James Brown,"HARTMAN DAN, MIDNIGHT CHARLIE","HARTMAN DAN, MIDNIGHT CHARLIE",2007-01-01
Marionette ～マリオネット～,BOOWY,布袋寅泰,氷室京介,2007-01-01
Miracle(궁S OST),하울(Howl),황성제,하울,2007-01-01
Never Say Goodbye,베이비복스리브,김도훈,최갑원,2007-01-01
"Oh, Mama!",자우림,김윤아,김윤아,2007-01-01
one & only,KCM,김건우,윤사라,2007-01-01
Paper moon(It's only a paper moon),Natalie Cole,Harold Arlen,Harold Arlen,2007-01-01
Pray (銀魂 OP),Tommy heavenly6,Chris Walker,Tommy heavenly6,2007-01-01
Rose,자자,양준영,강우경,2007-01-01
Savannah Woman,Tommy Bolin,"Tommy Bolin, Bilin, Cook","Tommy Bolin, Bilin, Cook",2007-01-01
SAYONARA (銀河鉄道999劇場版 ED),Mary McGregor,Brian Whitcomb・Mary McGregor,Mary McGregor,2007-01-01
She Can 't Get Enough,빅뱅,"JEAN RODRIGUEZ, B. SPALTER, CARLOS A.MENDOZA, M. NORFLEET, R. NEVIL,SILKY P.WHITE, W. RODRIGUEZ","JEAN RODRIGUEZ, B. SPALTER, CARLOS A.MENDOZA, M. NORFLEET, R. NEVIL,SILKY P.WHITE, W. RODRIGUEZ",2007-01-01
Shee,베이비복스리브,송진석,"이경남,백충렬",2007-01-01
Shining star,박정아,지한,김성형,2007-01-01
Sky High,Jigsaw,"D Dyer, C Scott","D Dyer, C Scott",2007-01-01
STILL (咎狗の血 ED),いとう かなこ,磯江俊道,渡邊カズヒロ,2007-01-01
SUMMER DREAM,TUBE,織田哲郎,亜蘭知子,2007-01-01
Talk about love,김현철,김현철,"김현철,이혜준",2007-01-01
Temptation,아시안러브,서융근,"서융근,박상후",2007-01-01
Thanks To,빅마마,"신연아,이영현,이지영,박민혜",신연아,2007-01-01
The Gambler,Kenny Rogers,Don Schlitz,Don Schlitz,2007-01-01
The Music Played,Sylvie Vartan,"FUCHSBERGER JOACHIM, JUERGENS UDO","FUCHSBERGER JOACHIM, JUERGENS UDO",2007-01-01
What I Go To School For,Busted,"Bourne, Jay, McLaughlin, Robson, Simpson","Bourne, Jay, McLaughlin, Robson, Simpson",2007-01-01
What's Going On,Marvin Gaye,"Renaldo Benson, Al Cleveland, Marvin Gaye","Renaldo Benson, Al Cleveland, Marvin Gaye",2007-01-01
With,마이앤트메리,"정순용,박정준,한진영",한진영,2007-01-01
WON'T BE LONG,EXILE＆倖田來未,Bro.KORN,Bro.KORN,2007-01-01
wonderland by night,Engelbert Humperdinck,Klaus Gunter Neumann,Klaus Gunter Neumann,2007-01-01
Yield,Sound Horizon,REVO,REVO,2007-01-01
あづま男と浪花のおんな,"北島三郎,中村美津子",原譲二,原譲二,2007-01-01
あなたに,安全地帶,玉置浩二,松井五郎,2007-01-01
うそよ今夜も,ロス・インディオス＆シルヴィア,六ツ見茂明,六ツ見茂明,2007-01-01
しあわせの魔法(カードキャプターさくら OST),丹下桜,根岸貴幸,大川七瀬,2007-01-01
ふたりの愛ランド,"石川優子,チャゲ",チャゲ,松井五郎・チャゲ,2007-01-01
もしも雪なら,Dreams Come True,中村正人,吉田美和,2007-01-01
やさしさに包まれたなら(魔女の宅急便OST),植村花菜,荒井由実,荒井由実,2007-01-01
アルミナ (DEATH NOTE ED),ナイトメア,咲人,咲人,2007-01-01
ブギウギ 66,w-inds.,シライシ紗トリ,島崎貴光・シライシ紗トリ,2007-01-01
ミソスープ,テゴマス,Shusui・Stefan Aberg,ZOPP,2007-01-01
リンダ リンダ,THE BLUE HEARTS,甲本ヒロト,甲本ヒロト,2007-01-01
一色,NANA starring MIKA NAKASHIMA,TAKURO,AI YAZAWA,2007-01-01
上を向いて歩こう,坂本九,中村八大,永六輔,2007-01-01
僕らの街で,KAT-TUN,小田和正,小田和正,2007-01-01
南十字星,キム・ヨンジャ,川口真,イタバシマサヒロ,2007-01-01
夢想歌(うたわれるもの OP),SUARA,衣笠道雄,須谷尚子,2007-01-01
大阪しのび逢い,"桂銀淑,浜圭介",浜圭介,池田充男,2007-01-01
愛始発,"桂銀淑,浜圭介",浜圭介,やしろよう,2007-01-01
春夏秋冬,アリス九號.,アリス九號.,将,2007-01-01
最高の片想い(彩雲国物語ED),タイナカサチ,タイナカサチ,タイナカサチ,2007-01-01
横須賀ストーリー,山口百恵,宇崎竜童,阿木燿子,2007-01-01
男と女のはしご酒,"武田鉄矢,芦川よしみ",馬飼野康二,魚住勉,2007-01-01
白い雪 (名探偵コナン ED),倉木麻衣,Aika Ohno,Mai Kuraki,2007-01-01
素顔,長渕剛,長渕剛,長渕剛,2007-01-01
緋色の風車,Sound Horizon,REVO,REVO,2007-01-01
