그룹명,멤버
SDN48," 코난, 타카하시 유이, 타니사키 토모미, 츠다 마리나, 나츠코, 니노미야 유카, 후쿠다 아카네, 후지코소 유미, 호소다 미유우, 마츠시마 루미, 마에다 에이코, 정시연, 코마타니 히토미, 아키타 카즈에, 이마요시 메구미, 우메다 하루카, 우라노 카즈미, 오오코치 미사, 오호리 메구미, 카이다 쥬리, 카토 마미, 코치 마사미, 코하라 하루카, 콘도 사야카, 사토 유카리, 세리나, 첸 츄, 테츠카 마치코, 나츄, 니시쿠니하라 레이코, 노로 카요, 하타케야마 치사키, 미츠이 히로미, 아이카와 유키, 아키코, 이토 마나, 오오야마 아이미, 키모토 유키 "
달 좋은 밤," 임채용(드럼), 이환(베이스), 정평화(기타), 조서인(피아노), 김호연(보컬) "
로맨틱펀치 ," 배인혁(보컬), 콘치(기타), 레이지(기타), 트리키(드럼) "
DGNA ," 가람, 현민, 인준, Jay, 미카 "
롱디 , 한민세(프로듀싱) 
어반자카파," 조현아, 권순일, 박용인 "
안녕의 온도," 정상이(리더, 키보드, 베이스), 윤석철(키보드), 이소월(드럼), 이수진(기타) "
사월과 오월," 백순진, 김태풍 "
Aqua Timez," 후토시, 오케이피 스타, 다이스케, 마유코, 타시 "
NCT DREAM," 마크, 런쥔, 제노, 해찬, 재민, 천러, 지성 "
NCT 127," 태일, 쟈니, 태용, 유타, 도영, 재현, 윈윈, 마크, 해찬, 정우 "
YB," 윤도현(보컬), 박태희(베이스), 김진원(드럼), 허준(기타), 스캇 할로웰(기타) "
소나무 ," 민재, 디애나, 의진, 하이디, 뉴썬 "
가리온," MC 메타(랩), 나찰(랩) "
Abingdon Boys School," 니시카와 다카노리(보컬), SUNAO(기타), 시바사키 히로시(기타), 키시 토시유키(키보드, DJ) "
캔," 배기성(보컬), 이종원(보컬) "
Billionaire," 후니아, 버마 "
SMAP," 나카이 마사히로(中居正広), 기무라 타쿠야(木村拓哉), 이나가키 고로(稲垣吾郎), 쿠사나기 츠요시(草彅剛), 카토리 싱고(香取慎吾) "
Bad Meets Evil," 에미넴, 로이스 다 파이브 나인 "
구구단 오구오구," 미나, 혜연 "
처진 달팽이 ," 유재석, 이적 "
Da Pump," 잇사(ISSA, 리더), 다이치(DAICHI), 겐조(KENZO), 토모(TOMO), 키미(KIMI), 요리(YORI), 유예(U-YEAH) "
Monkey Majik," 메이너드 플랜트(Maynard Plant, 보컬, 기타), 블래이즈 플랜트(Blaise Plant, 보컬, 기타), 택스(tax, 드럼), 딕(DICK, 베이스) "
3호선 버터플라이," 남상아(보컬, 기타), 김남윤(베이스), 서현정(드럼) "
더보이즈 ," 주학년, 영훈, 주연, 현재, 상연, 선우, 큐, 케빈, 제이콥, 에릭, 뉴 "
라니아," 지유, 혜미, 지은, 따보 "
서교동의 밤," 서교동의밤 A, 서교동의밤 B, 서교동의밤 D, 서교동의밤 E "
Clean Bandit," Jack Patterson, Luke Patterson, Grace Chatto "
SuperM," 백현, 태민, 카이, 태용, 마크, 루카스, 텐 "
오지은과 늑대들," 오지은(보컬), 정중엽(기타), 박민수(건반), 박순철(베이스), 신동훈(드럼) "
더블에이," 우상(리더, 안무, 보컬), 호익(보컬) "
공기남녀," 공기남(보컬, 프로듀싱), 미네(보컬) "
모노그램," 케빈(서브보컬, 피아노), 리원(보컬) "
버스커 버스커," 장범준(보컬, 기타), 브래드(드럼), 김형태(베이스) "
CNBLUE ," 정용화(리더, 기타, 메인보컬, 랩), 강민혁(드럼), 이정신(베이스, 랩) "
CHAGE & ASKA," 차게, 미야자키 시게아키 "
체리 필터," 조유진(메인보컬), 정우진(리더, 기타), 손스타(드럼, 랩), 연윤근(베이스) "
루싸이트 토끼," 에롱(보컬), 영태(기타) "
Ellegarden," 호소미 타케시(細美武士, 보컬, 기타), 우부카타 신이치(生形眞一, 기타), 타카다 유이치(高田雄一, 베이스), 타카하시 히로타카(高橋宏貴, 드럼) "
이로이 , 가요 
Simon & Garfunkel," 폴 사이먼(Paul Simon, 보컬), 아트 가펑클(Art Garfunkel, 기타, 보컬) "
유키스," 수현, 훈, 준 "
언니들," 김지현, 니키타, 나미 "
X1 ," 한승우, 조승연, 김우석, 김요한, 이한결, 차준호, 손동표, 강민희, 이은상, 송형준, 남도현 "
미스터 파파," 김석원, 조삼희, 이명원, 백종윤 "
시나위," 신대철(리더, 기타), 김바다(보컬) "
Neon Trees," 타일러 글렌(Tyler Glenn, 리드보컬, 키보드), 크리스 앨런(Chris Allen, 기타), 브랜든 캠벨(Branden Campbell, 베이스), 일레인 브래들리(Elaine Bradley, 드럼, 보컬) "
세븐틴," 에스쿱스(리더), 정한, 조슈아, 준, 호시, 원우, 우지, 디에잇, 민규, 도겸, 승관, 버논, 디노 "
솔루션스 ," 박솔(보컬), 나루(기타), 권오경(베이스), 박한솔(드럼) "
ASTRO ,"  차은우, 문빈, MJ, 진진, 라키, 윤산하"
SEKAI NO OWARI," 후카세(Fukase, 보컬, 기타), 나카진(Nakajin, 기타), 사오리(Saori, 피아노), 러브(Love, DJ) "
DREAMS COME TRUE," 요시다 미와(보컬), 나카무라 마사토(베이스) "
V6," 사카모토 마사유키(坂本昌行), 나가노 히로시(長野博), 이노하라 요시히코(井ノ原快彦), 모리타 고(森田剛), 미야케 켄(三宅健), 오카다 준이치(岡田准一) "
플라워," 고유진(보컬), 김우디(베이스), 고성진(기타) "
Cherryblossom," 미코(보컬), 마이코(보컬), 83(베이스), 유이치(드럼) "
혁오 ," 오혁(리더, 보컬, 기타), 임동건(베이스), 임현제(기타), 이인우(드럼) "
애프터스쿨 BLUE," 주연, 레이나, 리지, 이영 "
Coldplay," 크리스 마틴(Chris Martin, 보컬, 피아노), 존 버클랜드(Jonny Buckland, 기타), 윌 챔피언(Will Champion, 드럼), 가이 베리맨(Guy Berryman, 베이스) "
안녕바다," 나무(보컬, 기타), 우명제(베이스), 우선제(기타) "
The 1975," 매튜 힐리(Matthew Healy, 보컬, 기타), 로스 맥도널드(Ross MacDonald, 베이스), 아담 한(Adam Hann, 리드기타), 조지 다니엘(George Daniel, 드럼) "
위키미키 ," 최유정, 김도연, 지수연, 엘리, 세이, 루아, 리나, 루시 "
플라이 투 더 스카이," 환희, 브라이언 "
V.O.S," 최현준, 김경록, 박지헌 "
HIGH4 ," 백명한(보컬), 알렉스(랩), 임영준(랩) "
긱스 ," 릴보이(Lil Boi), 루이(Louie) "
다소니," 솔지, 하니 "
하찌와 TJ," 하찌(기타, 우쿨렐레), TJ(보컬, 우쿨렐레) "
Arctic Monkeys," 알렉스 터너(보컬), 제이미 쿡(기타), 닉 오말리(베이스), 맷 헬더스(드럼) "
윙크," 강주희, 강승희 "
Migos," 퀘이보, Takeoff, Offset "
ENHYPEN," 정원, 희승, 제이, 제이크, 성훈, 선우, 니키 "
TWICE ," 나연, 정연, 모모, 사나, 지효, 미나, 다현, 채영, 쯔위 "
그라고보이," 권률, 금동아 "
Portugal. The Man," John Baldwin Gourley, Zachary Scott Carothers, Kyle O'Quin,  Jason Sechrist "
부활," 김태원(기타, 리더), 채제민(드럼), 박완규(보컬), 최우제(베이스) "
허니지 ," 배재현, 박지용, 권태현 "
Take That," 게리 발로우(Gary Barlow), 마크 오웬(Mark Owen), 하워드 도널드(Howard Donald) "
F-ve Dolls," 효영, 서은교, 나연, 승희, 연경, 혜원 "
술탄 오브 더 디스코," 나잠 수(보컬, 댄스), JJ핫산(댄스, 코러스), 김간지(드럼), 지(베이스), 홍기(기타) "
Badkiz," 은유, 서은, 로지, 세미 "
카드 ," 비엠, 제이셉, 전소민, 전지우 "
JJCC ," 에디, 준영, 프린스 맥, 심바(리더), 산청, 율, 지카 "
이브," 김세헌(보컬), G.고릴라(보컬, 프로듀싱), 김건(베이스), 박웅(기타) "
엘클래스," 서동훈(보컬), 이우람(보컬), 박영탁(보컬, 랩), 민금용(보컬, 랩) "
